管理部查詢時間,地區,機關窗口,機關名稱,標案案號,標案名稱,預算金額,本採購是否屬中央政府計畫型案件,計劃案名稱,招標方式,公告日期,截止日期,詳細連結
2026/06/01 10:51:20,其他,,高雄市大樹區大樹國民小學,dsp1150529,教育版AI授權帳號財務採購案,"723,850",,,公開取得報價單或企劃書,115/06/01,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzU5MzI=
2026/06/01 10:51:20,其他,,財團法人國家衛生研究院,115A0C0109,AI 開發與高速運算伺服器 1 套,"4,641,000",,,公開招標,115/06/01,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzU2MTg=
2026/06/01 10:51:20,其他,,臺中市立向上國民中學,115-HS007,115年校園AI智能圖控播音系統建置採購案,"2,900,000",,,公開招標,115/06/01,115/06/12,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzQ1MjI=
