管理部查詢時間,地區,機關窗口,機關名稱,標案案號,標案名稱,預算金額,本採購是否屬中央政府計畫型案件,計劃案名稱,招標方式,公告日期,截止日期,詳細連結
2026/05/28 16:08:37,中部,中國醫藥大學附設醫院 陳麗如 (04) 22052121 #14737,中國醫藥大學附設醫院,115CMUH008 (更正公告),健康台灣深耕計畫-生成式AI照護機器人採購案,"33,870,000",是,,公開招標,115/05/29,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0OTg=
2026/05/28 16:08:37,中部,財團法人工業技術研究院 葉詩勻 (03) 5918055,財團法人工業技術研究院,A522000923 (更正公告),次產業輔導團AI診斷輔導廠商促案及會議舉辦服務,"1,050,000",否,,公開取得報價單或企劃書,115/05/29,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE4OTU=
2026/05/28 16:08:37,北部,資訊室 王文伶 (02) 27208889 #2373,臺北市政府衛生局,W11517 (更正公告),115年AI輔助違規食藥粧網頁廣告稽查系統建置案,"4,327,122",否,,經公開評選或公開徵求之限制性招標,115/05/29,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjkyNjk=
2026/05/28 16:08:37,北部,外交部 陳小姐(採購單位)/林小姐(需求單位) (02) 23482174,外交部,MOFA115078CY,2026年「#FindingTAIWAN_2.0全球徵片競賽網路社群活動」委外案,"2,750,000",否,,經公開評選或公開徵求之限制性招標,115/05/28,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzM0MDk=
2026/05/28 16:08:37,南部,補給室 潘小姐 (07) 3422121 #75112,高雄榮民總醫院,DP1505005,遠距AI照護平台租賃費計1項,"1,430,000",否,,公開取得報價單或企劃書,115/05/28,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzMyODg=
2026/05/28 16:08:37,中部,弘光科技大學 黃敏霞 (04) 26318652 #1703,弘光科技大學,1150000079,AI助理,"2,000,000",否,,公開招標,115/05/28,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI3MDc=
2026/05/28 16:08:37,北部,國立臺灣大學醫學院附設醫院北護分院 廖浩雲 (02) 23717101 #215030,國立臺灣大學醫學院附設醫院北護分院,1153104,AI語音輔助病歷專案,"378,000",是,,公開取得報價單或企劃書,115/05/28,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0NzU=
2026/05/28 16:08:37,北部,新北市瑞芳區鼻頭國民小學 李俊賢 (02) 24911571 #13,新北市瑞芳區鼻頭國民小學,Bitou1150526,2026臺灣AI教育年會委託服務採購,"777,000",否,,公開取得報價單或企劃書,115/05/28,115/06/04,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIzNDg=
2026/05/28 16:08:37,南部,文藻學校財團法人文藻外語大學 黃俊翰 (07) 3426031 #2513,文藻學校財團法人文藻外語大學,A11400239 (更正公告),國企管系AI電腦及麥克風採購案,"1,115,182",否,,公開招標,115/05/28,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc0NjU=
2026/05/28 16:08:37,南部,崑山科技大學 採購組 (06) 2727175 #246,崑山科技大學,153601-1,AI主控工作站等設備一批,"552,184",否,,公開招標,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIwMzk=
2026/05/28 16:08:37,南部,總務處 楊雅琳 (05) 5342601 #2423,國立雲林科技大學,YTG115028,AI邊緣運算模組,"4,200,000",否,,公開招標,115/05/27,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE5MTI=
2026/05/28 16:08:37,北部,補給室 林家豪 (02) 28712121 #67735,臺北榮民總醫院,115TC040Q,AI智慧內視鏡輔助偵測系統,"1,750,000",否,,公開招標,115/05/27,115/06/09,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE4MDM=
2026/05/28 16:08:37,南部,總務處 張哲文 (06) 2757575 #50571,國立成功大學,115-03-021,高階AI運算設備建置壹式,"44,300,000",否,,公開招標,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE3NDk=
2026/05/28 16:08:37,南部,總務處 張哲文 (06) 2757575 #50572,國立成功大學,115-05-041,NVIDIA DGX Spark (4TB SSD)桌上型AI伺服器壹台,"164,850",否,,公開取得電子報價單,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE2NzY=
2026/05/28 16:08:37,南部,總務處事務組 吳先生 (08) 7703202 #6093,國立屏東科技大學,1150522073,AI筆記型電腦15臺,"525,000",否,,公開取得電子報價單,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzExNTQ=
2026/05/28 16:08:37,中部,自然科學教育園區管理中心/秘書室 許小姐(履約管理單位)/劉小姐(採購) (049) 2623108 #106,國立自然科學博物館,115-a20,車籠埔斷層保存園區地質科學廳導入數位媒體雙語展示並結合AI智慧,"500,000",否,,公開取得報價單或企劃書,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzExMzU=
2026/05/28 16:08:37,北部,國立臺灣大學醫學院附設醫院癌醫中心分院 周偉捷 (02) 23220322 #238357,國立臺灣大學醫學院附設醫院癌醫中心分院,PA2600024,多色流式細胞儀血液病 MRD 監測AI 模型與可視化互動平台共1套招標案,"5,910,000",是,,公開招標,115/05/27,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzEwMjM=
2026/05/28 16:08:37,北部,致理學校財團法人致理科技大學 林嘉惠 (02) 22572320,致理學校財團法人致理科技大學,1150308-1,致理科技大學商智所AI驅動智慧碳管理及減碳評價教學平台設備採購案,"1,960,000",否,,公開招標,115/05/27,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzA3MDk=
2026/05/28 16:08:37,北部,勞務採購科 張簡先生/青年局王先生(2272-1540#2106) (02) 29603456 #7669,新北市政府採購處,1150522A,115年度AI青年未來職涯菁英計畫,"2,520,000",否,,經公開評選或公開徵求之限制性招標,115/05/26,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjk4ODQ=
2026/05/28 16:08:37,北部,秘書室 莊依婷 (02) 27877846,衛生福利部食品藥物管理署,115TFDA-DSC-014,115年度「藥品供應AI技術監測應用研究」,"4,000,000",否,,經公開評選或公開徵求之限制性招標,115/05/26,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjk4NDc=
2026/05/28 16:08:37,中部,中國醫藥大學附設醫院 吳佳珊 (04) 22052121 #14745,中國醫藥大學附設醫院,115CMUH019,健康台灣深耕計畫-AI能源與碳足跡平台軟體採購案,"4,600,000",是,,公開招標,115/05/26,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgzMTg=
2026/05/28 16:08:37,中部,明新學校財團法人明新科技大學 羅淑慧 (03) 5593142 #2416,明新學校財團法人明新科技大學,2115041601,多媒體與遊戲發展系 元宇宙多人AI影像即時動捕與遊戲互動模擬教學展示系統採購案,"1,558,000",否,,公開招標,115/05/26,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgwMjc=
2026/05/28 16:08:37,南部,機械系吳忠春分機3501 總務處張資顯 (06) 2533131 #2301,南臺學校財團法人南臺科技大學,11513000207,AI計算伺服器系統,"520,000",否,,公開取得報價單或企劃書,115/05/25,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjk0MTY=
2026/05/28 16:08:37,南部,高雄市立凱旋醫院 郭鳳梅 (07) 7513171 #2324,高雄市立凱旋醫院,KSPH1153032,健康台灣深耕計畫-建置AI智能排班系統,"1,100,000",是,,公開取得報價單或企劃書,115/05/25,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjkxNTA=
2026/05/28 16:08:37,南部,屏東縣政府行政暨研考處研究發展科高培珊 行政暨研考處研究發展科高培珊 (08) 7320415 #6316,屏東縣政府,E1150521-1 (更正公告),屏東縣政府AI推動策略委託專業規劃案,"1,000,000",否,,公開取得報價單或企劃書,115/05/25,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgyMzI=
2026/05/28 16:08:37,南部,國立虎尾科技大學 謝廣合（總務處事務組） (05) 6315227,國立虎尾科技大學,B115046 (更正公告),AI智慧機器人與邊緣運算開發設備採購案,"1,460,000",否,,公開取得報價單或企劃書,115/05/25,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTk4Njk=
2026/05/28 16:08:37,北部,衛生福利部臺北醫院 施宗逸 (02) 22765566 #2891,衛生福利部臺北醫院,INF-2891-11501,乳房攝影AI影像偵測輔助系統租賃,"840,000",是,,公開取得報價單或企劃書,115/05/22,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg3NTA=
2026/05/28 16:08:37,南部,補給室 黃玉卿 (07) 3422121 #75127,高雄榮民總醫院,RP15032,兒童骨齡AI輔助分析軟體,"840,000",否,,公開取得報價單或企劃書,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg2OTU=
2026/05/28 16:08:37,南部,補給室 黃玉卿 (07) 3422121 #75127,高雄榮民總醫院,RP15020,胸部X光AI輔助診斷軟體,"1,400,000",否,,公開取得報價單或企劃書,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg2MDg=
2026/05/28 16:08:37,中部,地政處 古伊庭 (03) 5216121 #310,新竹市政府,1150152,地政業務流程規劃AI導入策略委託研究案,"3,000,000",否,,經公開評選或公開徵求之限制性招標,115/05/22,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg0MDA=
2026/05/28 16:08:37,中部,採購組 李建漳 (03) 5712121 #52105,國立陽明交通大學,F115038,靈巧手與機器人開發AI主機一套,"489,900",否,,公開取得電子報價單,115/05/22,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgyMTk=
2026/05/28 16:08:37,中部,採購組 蔡小姐 (04) 22840677 #68,國立中興大學,AT-115009,AI復健機器人與智慧量測系統建置採購案,"5,000,000",否,,公開招標,115/05/22,115/05/28,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc3NjE=
2026/05/28 16:08:37,中部,補給室 楊秀娟 (04) 23592525 #2811,臺中榮民總醫院,TVG115K05,「AI工作站1項」採購案,"900,000",否,,公開取得報價單或企劃書,115/05/22,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc2OTE=
2026/05/28 16:08:37,南部,補給室 潘小姐 (07) 3422121 #75112,高雄榮民總醫院,DP1504008,目標型態多模態AI辨識演算計1項,"200,000",否,,公開取得報價單或企劃書,115/05/22,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc1MzU=
