管理部查詢時間,地區,機關窗口,機關名稱,標案案號,標案名稱,預算金額,本採購是否屬中央政府計畫型案件,計劃案名稱,招標方式,公告日期,截止日期,詳細連結
2026/05/28 10:37:57,中部,未提供,宜蘭縣政府消防局,1150502S2,宜蘭縣政府消防局115年度「『提升山域事故救援效能五年中程計畫』購置專業救援裝備一批」採購案,"1,374,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzMyMjA=
2026/05/28 10:37:57,中部,未提供,新北市政府警察局三峽分局,1152566380,新北市政府警察局115年度三峽分局警察廳舍更新改造方案鶯歌分駐所、湖山派出所整修工程(第三次招標),"4,154,982",否,無,公開招標,115/05/28,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzMwMDI=
2026/05/28 10:37:57,中部,未提供,臺北市政府人事處,11512,116年政府行政機關辦公日曆表、卡印製案,"340,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/04,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI5MjA=
2026/05/28 10:37:57,中部,未提供,嘉義市政府,GA115015,嘉義市政府115年網頁應用程式防火牆授權更新及維護案,"474,000",否,無,公開取得電子報價單,115/05/28,115/06/04,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI1ODg=
2026/05/28 10:37:57,中部,未提供,臺南市政府社會局,1150106,臺南市政府社會局115年度Call厝邊社區巡迴外展服務計畫,"1,200,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIzOTg=
2026/05/28 10:37:57,中部,未提供,臺中市政府警察局霧峰分局,KK1150623,臺中市政府警察局霧峰分局115年度推動警勤工作及表揚績優民防、義警人員聯誼活動餐會採購案,"379,800",否,無,公開取得報價單或企劃書,115/05/28,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE3NzI=
2026/05/28 10:37:57,中部,未提供,新北市政府資訊中心,002-115-3-4-04,115-117年新北市政府數位出版品系統維運案,"895,000",否,無,公開取得報價單或企劃書,115/05/27,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIxMjE=
2026/05/28 10:37:57,中部,未提供,臺中市政府警察局第六分局,115007,臺中市政府警察局第六分局聯合辦理115年度推動警勤工作及表揚績優民防、義警人員聯誼活動採購案,"235,200",否,無,公開取得報價單或企劃書,115/05/27,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIwMTI=
2026/05/28 10:37:57,中部,未提供,高雄市政府海洋局,1154010,115年度高雄市政府海洋局轄管16處漁港及第122船渠公共意外責任險,"310,000",否,無,公開取得報價單或企劃書,115/05/27,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE5ODY=
2026/05/28 10:37:57,中部,未提供,屏東縣政府,A024-1150526-1,115年屏東縣政府林業苗圃環境整理(開口契約),"1,000,000",否,無,經公開評選或公開徵求之限制性招標,115/05/27,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE5MTA=
2026/05/28 10:37:57,中部,未提供,雲林縣政府,1153R10025,雲林縣政府115年度多功能電腦教室視訊會議暨互動工作坊建置案,"2,687,000",否,無,公開招標,115/05/27,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE4MDA=
2026/05/28 10:37:57,中部,未提供,澎湖縣政府文化局,SV-115113,澎湖縣政府文化局第一屆百大文化基地整合串聯計畫「115年校外教學暨社區文化走讀案」,"600,000",否,無,公開取得報價單或企劃書,115/05/27,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE1MTQ=
2026/05/28 10:37:57,中部,未提供,臺中市霧峰區光正國民小學,KC11407,臺中市政府教育局115年度所屬學校資安設備(網路防火牆)延長保固授權採購計畫案,"1,000,500",否,無,公開取得報價單或企劃書,115/05/27,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE0NzA=
2026/05/28 10:37:57,中部,未提供,桃園市政府消防局,S115-02-1,桃園市政府消防局石門分隊暨經濟部水利署北區水資源分署車庫新建工程,"180,369,657",否,無,公開招標,115/05/27,115/06/16,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTc3NDc=
