管理部查詢時間,地區,機關窗口,機關名稱,標案案號,標案名稱,預算金額,本採購是否屬中央政府計畫型案件,計劃案名稱,招標方式,公告日期,截止日期,詳細連結
2026/05/28 10:22:09,中部,未提供,外交部,MOFA115078CY,2026年「#FindingTAIWAN_2.0全球徵片競賽網路社群活動」委外案,"2,750,000",否,無,經公開評選或公開徵求之限制性招標,115/05/28,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzM0MDk=
2026/05/28 10:22:09,中部,未提供,高雄榮民總醫院,DP1505005,遠距AI照護平台租賃費計1項,"1,430,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzMyODg=
2026/05/28 10:22:09,中部,未提供,弘光科技大學,1150000079,AI助理,"2,000,000",否,無,公開招標,115/05/28,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI3MDc=
2026/05/28 10:22:09,中部,未提供,中國醫藥大學附設醫院,115CMUH008,健康台灣深耕計畫-生成式AI照護機器人採購案,"33,870,000",否,無,公開招標,115/05/28,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0OTg=
2026/05/28 10:22:09,中部,未提供,國立臺灣大學醫學院附設醫院北護分院,1153104,AI語音輔助病歷專案,"378,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0NzU=
2026/05/28 10:22:09,中部,未提供,新北市瑞芳區鼻頭國民小學,Bitou1150526,2026臺灣AI教育年會委託服務採購,"777,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/04,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIzNDg=
2026/05/28 10:22:09,中部,未提供,文藻學校財團法人文藻外語大學,A11400239 (更正公告),國企管系AI電腦及麥克風採購案,"1,115,182",否,無,公開招標,115/05/28,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc0NjU=
2026/05/28 10:22:09,中部,未提供,崑山科技大學,153601-1,AI主控工作站等設備一批,"552,184",否,無,公開招標,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIwMzk=
2026/05/28 10:22:09,中部,未提供,國立雲林科技大學,YTG115028,AI邊緣運算模組,"4,200,000",否,無,公開招標,115/05/27,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE5MTI=
2026/05/28 10:22:09,中部,未提供,財團法人工業技術研究院,A522000923,次產業輔導團AI診斷輔導廠商促案及會議舉辦服務,"1,050,000",否,無,公開取得報價單或企劃書,115/05/27,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE4OTU=
