管理部查詢時間,地區,機關窗口,機關名稱,標案案號,標案名稱,預算金額,本採購是否屬中央政府計畫型案件,計劃案名稱,招標方式,公告日期,截止日期,詳細連結
2026/05/28 16:26:46,中部,中國醫藥大學附設醫院 陳麗如 (04) 22052121 #14737,中國醫藥大學附設醫院,115CMUH008 (更正公告),健康台灣深耕計畫-生成式AI照護機器人採購案,"33,870,000",是 個案計畫： gpmnetoid8349 - 健康台灣深耕計畫,,公開招標,115/05/29,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0OTg=
2026/05/28 16:26:46,北部,外交部 陳小姐(採購單位)/林小姐(需求單位) (02) 23482174,外交部,MOFA115078CY,2026年「#FindingTAIWAN_2.0全球徵片競賽網路社群活動」委外案,"2,750,000",否,,經公開評選或公開徵求之限制性招標,115/05/28,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzM0MDk=
2026/05/28 16:26:46,南部,補給室 潘小姐 (07) 3422121 #75112,高雄榮民總醫院,DP1505005,遠距AI照護平台租賃費計1項,"1,430,000",否,,公開取得報價單或企劃書,115/05/28,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzMyODg=
2026/05/28 16:26:46,中部,弘光科技大學 黃敏霞 (04) 26318652 #1703,弘光科技大學,1150000079,AI助理,"2,000,000",否,,公開招標,115/05/28,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI3MDc=
2026/05/28 16:26:46,北部,國立臺灣大學醫學院附設醫院北護分院 廖浩雲 (02) 23717101 #215030,國立臺灣大學醫學院附設醫院北護分院,1153104,AI語音輔助病歷專案,"378,000",是 個案計畫： gpmnetoid8349 - 健康台灣深耕計畫,,公開取得報價單或企劃書,115/05/28,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0NzU=
2026/05/28 16:26:46,北部,新北市瑞芳區鼻頭國民小學 李俊賢 (02) 24911571 #13,新北市瑞芳區鼻頭國民小學,Bitou1150526,2026臺灣AI教育年會委託服務採購,"777,000",否,,公開取得報價單或企劃書,115/05/28,115/06/04,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIzNDg=
2026/05/28 16:26:46,南部,文藻學校財團法人文藻外語大學 黃俊翰 (07) 3426031 #2513,文藻學校財團法人文藻外語大學,A11400239 (更正公告),國企管系AI電腦及麥克風採購案,"1,115,182",否,,公開招標,115/05/28,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc0NjU=
